bits,nu,mu,tu,unroll,p,gs,time
4,1,16,16,1,4,-1,383697
4,1,16,16,2,4,-1,385551
4,1,16,16,4,4,-1,479062
4,1,16,16,8,4,-1,381187
3,1,16,16,5,4,-1,2.14748e+09
2,1,16,16,1,4,-1,360793
2,1,16,16,2,4,-1,361262
2,1,16,16,4,4,-1,532340
2,1,16,16,8,4,-1,362622
4,1,16,16,1,4,64,566264
4,1,16,16,2,4,64,602606
4,1,16,16,4,4,64,706845
4,1,16,16,8,4,64,782932
3,1,16,16,5,4,64,923746
2,1,16,16,1,4,64,472425
2,1,16,16,2,4,64,600774
2,1,16,16,4,4,64,478572
2,1,16,16,8,4,64,784368
4,1,16,32,1,4,-1,431703
4,1,16,32,2,4,-1,549107
4,1,16,32,4,4,-1,548400
4,1,16,32,8,4,-1,423822
3,1,16,32,5,4,-1,2.14748e+09
2,1,16,32,1,4,-1,485528
2,1,16,32,2,4,-1,483133
2,1,16,32,4,4,-1,482831
2,1,16,32,8,4,-1,485418
4,1,16,32,1,4,64,687413
4,1,16,32,2,4,64,681599
4,1,16,32,4,4,64,700848
4,1,16,32,8,4,64,682402
3,1,16,32,5,4,64,678420
2,1,16,32,1,4,64,643386
2,1,16,32,2,4,64,632397
2,1,16,32,4,4,64,620603
2,1,16,32,8,4,64,604662
